"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"39",434,11,11240,10,"11240_10_12_17_18_19_21","Columbia Plateau Low Sagebrush Steppe","Shrubland",201,NA,NA,201,100,NA,NA,"V-A",132,140,173,0.517647059,0.549019608,0.678431373,2,0
"40",435,30,11250,10,"11250_1_7_8_9_10_19","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",59,NA,NA,59,100,NA,NA,"IV-A",255,115,223,1,0.450980392,0.874509804,7,0
"41",436,531,11260,10,"11260_1_7_8_9_10_19","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",31,NA,NA,31,100,NA,NA,"II-C",230,0,169,0.901960784,0,0.662745098,118,0
"42",440,2531,11390,10,"11390_10_19","Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland","Grassland",17,NA,NA,17,100,NA,NA,"II-C",171,205,102,0.670588235,0.803921569,0.4,563,0
"43",441,376,11400,10,"11400_10_19","Northern Rocky Mountain Subalpine-Upper Montane Grassland","Grassland",146,NA,NA,146,100,NA,NA,"IV-B",167,205,195,0.654901961,0.803921569,0.764705882,84,0
"44",443,93,11450,10,"11450_9_10_19","Rocky Mountain Subalpine-Montane Mesic Meadow","Grassland",40,160,NA,32,80,20,NA,"II-C",0,197,255,0,0.77254902,1,21,0
"45",447,4461,11600,10,"11600_10_19","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",201,133,NA,80,40,60,NA,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,992,0
"46",451,141,10010,19,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,31,0
"47",453,66,10090,19,"10090_19","Northwestern Great Plains Aspen Forest and Parkland","Hardwood",83,396,NA,69,83,17,NA,"IV-A",11,202,170,0.043137255,0.792156863,0.666666667,15,0
"48",462,737,10490,19,"10490_19_20_21_23_28_29","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",385,NA,NA,385,100,NA,NA,"V-A",102,205,171,0.4,0.803921569,0.670588235,164,0
