model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
10453_10_19_D,10453_10_19,D,17,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,4,19827,10453,19,91891,21
10453_10_19_E,10453_10_19,E,20,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,5,5678,10453,10,12494,45
10453_10_19_E,10453_10_19,E,20,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,5,62929,10453,19,91891,68
10453_10_19_Agriculture,10453_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,180,34,10453,10,12494,0
10453_10_19_Agriculture,10453_10_19,Agriculture,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,180,621,10453,19,91891,0
10453_10_19_Developed,10453_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,120,56,10453,10,12494,0
10453_10_19_Developed,10453_10_19,Developed,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,120,2622,10453,19,91891,2
10453_10_19_Water,10453_10_19,Water,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,NA,NA,NA,NA,NA,NA,NA
10453_10_19_UN,10453_10_19,UN,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,NA,NA,NA,NA,NA,NA,NA
10453_10_19_UE,10453_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,419,7,4,10453,10,12494,0
10453_10_19_UE,10453_10_19,UE,0,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,458,7,411,10453,19,91891,0
10460_10_19_20_A,10460_10_19_20,A,30,Northern Rocky Mountain Subalpine Woodland and Parkland,420,1,87,10460,10,271,32
10460_10_19_20_A,10460_10_19_20,A,30,Northern Rocky Mountain Subalpine Woodland and Parkland,459,1,710889,10460,19,2042011,34
10460_10_19_20_B,10460_10_19_20,B,31,Northern Rocky Mountain Subalpine Woodland and Parkland,420,2,2,10460,10,271,0
10460_10_19_20_B,10460_10_19_20,B,31,Northern Rocky Mountain Subalpine Woodland and Parkland,459,2,12285,10460,19,2042011,0
10460_10_19_20_C,10460_10_19_20,C,12,Northern Rocky Mountain Subalpine Woodland and Parkland,420,3,1,10460,10,271,0
10460_10_19_20_C,10460_10_19_20,C,12,Northern Rocky Mountain Subalpine Woodland and Parkland,459,3,102416,10460,19,2042011,5
10460_10_19_20_D,10460_10_19_20,D,5,Northern Rocky Mountain Subalpine Woodland and Parkland,420,4,60,10460,10,271,22
10460_10_19_20_D,10460_10_19_20,D,5,Northern Rocky Mountain Subalpine Woodland and Parkland,459,4,536057,10460,19,2042011,26
10460_10_19_20_E,10460_10_19_20,E,22,Northern Rocky Mountain Subalpine Woodland and Parkland,420,5,121,10460,10,271,44
10460_10_19_20_E,10460_10_19_20,E,22,Northern Rocky Mountain Subalpine Woodland and Parkland,459,5,569339,10460,19,2042011,27
10460_10_19_20_Agriculture,10460_10_19_20,Agriculture,0,Northern Rocky Mountain Subalpine Woodland and Parkland,459,180,60,10460,19,2042011,0
10460_10_19_20_Developed,10460_10_19_20,Developed,0,Northern Rocky Mountain Subalpine Woodland and Parkland,459,120,153,10460,19,2042011,0
10460_10_19_20_Water,10460_10_19_20,Water,0,Northern Rocky Mountain Subalpine Woodland and Parkland,NA,NA,NA,NA,NA,NA,NA
10460_10_19_20_UN,10460_10_19_20,UN,0,Northern Rocky Mountain Subalpine Woodland and Parkland,NA,NA,NA,NA,NA,NA,NA
10460_10_19_20_UE,10460_10_19_20,UE,0,Northern Rocky Mountain Subalpine Woodland and Parkland,459,7,4,10460,19,2042011,0
